image,popularity_score,is_female,baby,child,teenager,youth,middle_age,senior
10261171_624423124312794_2063356121_a_0_3076,4.078,-1,-1,-1,-1,-1,1,-1
10254181_753995364633111_109551758_a_0_2574,3.686,1,-1,-1,-1,-1,-1,1
10251468_277070419136921_443866329_a_0_3085,3.879,1,1,-1,-1,-1,-1,-1
10175133_304654113018141_631414562_a_0_3775,5.413,-1,-1,-1,1,-1,-1,-1
1168756_247007248818980_913790577_a,5.026,1,-1,-1,-1,1,-1,-1
10254181_753995364633111_109551758_a_0_7796,3.686,1,-1,-1,-1,-1,-1,1
924969_240583316065660_1125689895_a,4.141,1,-1,-1,-1,1,-1,-1
1516665_599760660101765_1421014296_a_0_2941,4.981,1,1,-1,-1,-1,-1,-1
1530904_486163058173862_965510686_a_0_8721,3.302,-1,-1,-1,1,-1,-1,-1
1515086_1398794393730282_1469829670_a_0_6331,3.766,-1,-1,1,-1,-1,-1,-1
1516689_1412296765699122_2100083670_a_0_8612,4.891,1,1,-1,-1,-1,-1,-1
1516689_1412296765699122_2100083670_a_0_8329,4.891,1,1,-1,-1,-1,-1,-1
10175158_910691328956656_1283797986_a_0_6663,4.213,-1,-1,-1,1,-1,-1,-1
924319_725083060847160_2103581504_a,3.962,1,-1,-1,-1,1,-1,-1
10254181_753995364633111_109551758_a_0_4360,3.686,1,-1,-1,-1,-1,-1,1
10011352_1468991869998064_959399649_a_0_859,4.575,1,1,-1,-1,-1,-1,-1
024696bead0c11e389d50ec42b3b1b1c_6_0_6923,4.169,-1,-1,-1,1,-1,-1,-1
1171037_286343688197452_993132846_a_0_7160,4.898,-1,-1,-1,1,-1,-1,-1
1922285_1424027491183357_1301187323_a_0_1079,3.264,1,1,-1,-1,-1,-1,-1
1516885_272516566256143_382816026_a,4.424,-1,-1,-1,1,-1,-1,-1
10009141_222140781318044_1602148506_a,5.081,-1,-1,-1,1,-1,-1,-1
10175376_594987363930045_1746495756_a_0_1581,3.824,-1,-1,-1,-1,-1,1,-1
1516818_767179956634416_2010108335_a_0_8833,5.283,1,-1,-1,-1,-1,-1,1
10013209_1402520500023782_298000570_a_0_2895,3.38,1,-1,-1,-1,-1,-1,1
10012487_447728398693935_1155450774_a,5.548,1,-1,-1,-1,1,-1,-1
10175332_278358032332909_436228776_a_0_2924,3.321,-1,-1,-1,1,-1,-1,-1
929292_1439890689590242_1196689120_a,4.962,1,-1,-1,-1,1,-1,-1
10009339_539945986123146_762803808_a_0_5472,3.81,1,1,-1,-1,-1,-1,-1
10175303_265609166945122_1815187830_a_0_3650,3.605,-1,-1,1,-1,-1,-1,-1
10246161_774658512544153_405173523_a_0_7439,4.054,-1,-1,-1,1,-1,-1,-1
10009339_539945986123146_762803808_a_0_6354,3.81,1,1,-1,-1,-1,-1,-1
10254181_753995364633111_109551758_a_0_2666,3.686,1,-1,-1,-1,-1,-1,1
925459_834557103225523_1228624476_a_0_2911,4.101,-1,-1,-1,-1,1,1,1
10249131_526602080791602_1741647703_a_0_9966,2.329,-1,-1,1,-1,-1,-1,-1
924324_530625160392529_1993142966_a_0_1827,4.396,1,1,-1,-1,-1,-1,-1
1515874_698551046850130_1508944079_a,4.563,1,-1,-1,-1,1,-1,-1
10246112_234250026779187_1180239071_a_0_4901,3.963,-1,-1,1,-1,-1,-1,-1
927925_704384776269595_1707652784_a_0_5426,4.543,-1,-1,-1,1,-1,-1,-1
10254181_753995364633111_109551758_a_0_5449,3.686,1,-1,-1,-1,-1,-1,1
10009253_456230004508666_513567254_a,4.106,1,-1,-1,-1,1,-1,-1
10013033_267141560113901_1792403080_a_0_7000,4.992,1,-1,-1,-1,-1,-1,1
10175408_1486967861523298_1773889710_a,5.633,1,-1,-1,-1,1,-1,-1
10013033_267141560113901_1792403080_a_0_2921,4.992,1,-1,-1,-1,-1,-1,1
1660692_267714980075758_1429706883_a,4.079,1,-1,-1,-1,1,-1,-1
1172123_535957866525370_1641597162_a_0_6285,4.456,-1,-1,1,-1,-1,-1,-1
10251532_307961249351014_2013236497_a_0_6314,3.932,-1,-1,1,-1,-1,-1,-1
10013209_1402520500023782_298000570_a_0_7162,3.38,1,-1,-1,-1,-1,-1,1
10246203_645227658860486_1741960182_a_0_8164,3.806,-1,-1,1,-1,-1,-1,-1
10254181_753995364633111_109551758_a_0_310,3.686,1,-1,-1,-1,-1,-1,1
10246110_272716046228673_1989656388_a,4.082,-1,-1,-1,1,-1,-1,-1
10013033_267141560113901_1792403080_a_0_4588,4.992,1,-1,-1,-1,-1,-1,1
10011498_491047854329442_681046407_a_0_76,3.705,-1,-1,-1,-1,-1,1,-1
10251427_649571665092387_673887308_a,4.615,1,-1,-1,-1,1,-1,-1
10254181_753995364633111_109551758_a_0_27,3.686,1,-1,-1,-1,-1,-1,1
1170533_1441860186053041_1973166384_a_0_7389,4.961,-1,-1,1,-1,-1,-1,-1
10175162_652823038088883_841340529_a,4.247,1,-1,-1,-1,1,-1,-1
10011384_663947993651821_1844425642_a_0_1777,3.558,1,1,-1,-1,-1,-1,-1
10175344_218220065039946_1626898906_a_0_5989,5.033,-1,-1,-1,-1,-1,1,-1
10013033_267141560113901_1792403080_a_0_8198,4.992,1,-1,-1,-1,-1,-1,1
928247_674673922592480_911710834_a_0_4613,4.613,-1,-1,-1,-1,-1,1,-1
10013048_648181195253072_1538355466_a,4.692,1,-1,-1,-1,1,-1,-1
1516188_755255207827323_1548225084_a_0_6222,3.504,-1,-1,1,-1,-1,-1,-1
10013076_620873021320326_1711363291_a,4.343,1,-1,-1,-1,1,-1,-1
10011198_644668478904265_132244197_a_0_9830,4.932,-1,-1,-1,1,-1,-1,-1
10175262_1405710586368211_1419088304_a_0_1412,4.707,-1,-1,1,-1,-1,-1,-1
10011201_229619030579129_1801187320_a_0_8240,3.518,1,1,-1,-1,-1,-1,-1
10013136_1431597760421668_1789463827_a_0_2900,3.018,-1,-1,1,-1,-1,-1,-1
926147_384359315039301_35961337_a,5.056,1,-1,-1,-1,1,-1,-1
10254220_1475806449304275_53013510_a_0_5097,3.622,-1,-1,1,-1,-1,-1,-1
1689111_450042771789970_303089699_a_0_4076,5.667,1,1,-1,-1,-1,-1,-1
10013209_1402520500023782_298000570_a_0_1895,3.38,1,-1,-1,-1,-1,-1,1
1171758_216031078607619_1622085903_a_0_5681,4.182,1,1,-1,-1,-1,-1,-1
1922285_1424027491183357_1301187323_a_0_2818,3.264,1,1,-1,-1,-1,-1,-1
10251506_289475897879169_1844589639_a_0_7187,4.448,-1,-1,-1,-1,-1,1,-1
1737764_504981469605786_473402744_a,3.317,1,-1,-1,-1,1,-1,-1
1515130_247718542078454_1522779490_a_0_1754,4.566,-1,-1,-1,-1,-1,1,-1
928498_735472743139654_1454727421_a_0_5649,4.14,-1,-1,-1,1,-1,-1,-1
1170352_1426480147601284_828425512_a_0_861,5.068,-1,-1,-1,1,-1,-1,-1
1515844_689871051074861_1504206905_a_0_86,4.793,-1,-1,1,-1,-1,-1,-1
10251438_841997842483617_2071348315_a_0_4210,3.962,-1,-1,-1,-1,-1,1,-1
10013033_267141560113901_1792403080_a_0_8443,4.992,1,-1,-1,-1,-1,-1,1
1516677_714621801923891_161087838_a,5.492,1,-1,-1,-1,1,-1,-1
10009339_539945986123146_762803808_a_0_2145,3.81,1,1,-1,-1,-1,-1,-1
10013033_267141560113901_1792403080_a_0_1691,4.992,1,-1,-1,-1,-1,-1,1
10246051_1423616044559468_1726831539_a,4.584,-1,-1,-1,1,-1,-1,-1
10254181_753995364633111_109551758_a_0_3699,3.686,1,-1,-1,-1,-1,-1,1
10012980_618042714936544_1857240279_a,4.176,1,-1,-1,-1,1,-1,-1
10011437_1470961763121811_215123915_a,4.407,1,-1,-1,-1,1,-1,-1
10254181_753995364633111_109551758_a_0_8281,3.686,1,-1,-1,-1,-1,-1,1
1516818_767179956634416_2010108335_a_0_2392,5.283,1,-1,-1,-1,-1,-1,1
10246192_1411933772404229_877014267_a_0_849,3.198,-1,-1,-1,-1,-1,1,-1
10011441_240150286174932_617176317_a_0_5689,4.713,-1,-1,1,-1,-1,-1,-1
925459_834557103225523_1228624476_a_0_4364,4.101,-1,-1,-1,-1,1,1,1
1515136_608974042530682_1945883466_a_0_826,3.741,-1,-1,1,-1,-1,-1,-1
10175144_237320729798344_1913606616_a_0_3883,4.01,1,1,-1,-1,-1,-1,-1
10011250_307645406050143_1941008226_a_0_4930,4.586,-1,-1,-1,1,-1,-1,-1
10254181_753995364633111_109551758_a_0_8497,3.686,1,-1,-1,-1,-1,-1,1
10246119_310733032413389_1061390525_a_0_7744,5.188,-1,-1,1,-1,-1,-1,-1
1922285_1424027491183357_1301187323_a_0_8358,3.264,1,1,-1,-1,-1,-1,-1
10254218_1439391569635957_1103191276_a_0_2299,4.675,-1,-1,1,-1,-1,-1,-1
10254258_227726824100959_145888310_a_0_3421,4.209,1,1,-1,-1,-1,-1,-1
10011289_1496453550575540_1719457055_a_0_5242,5.689,-1,-1,-1,-1,-1,1,-1
10251562_858725060811689_99515104_a_0_2187,4.017,-1,-1,-1,-1,-1,1,-1
10246065_609606092462883_1186053410_a_0_7447,4.328,-1,-1,-1,-1,-1,1,-1
1515190_236087556580347_837012336_a_0_2078,4.599,-1,-1,1,-1,-1,-1,-1
1389254_382502921884747_1751890672_a_0_1449,4.613,1,1,-1,-1,-1,-1,-1
10013113_640557202664407_230974357_a_0_6629,4.726,1,1,-1,-1,-1,-1,-1
926291_542596399168556_1411849122_a_0_1925,4.102,1,1,-1,-1,-1,-1,-1
10245920_236418873226362_1328649921_a_0_2554,4.449,-1,-1,1,-1,-1,-1,-1
10175358_281383722038079_1211468348_a_0_6452,4.731,-1,-1,-1,1,-1,-1,-1
925217_1491990671022574_1208760833_a,5.551,1,-1,-1,-1,1,-1,-1
10011447_445228855612295_1478914346_a_0_574,4.887,-1,-1,-1,1,-1,-1,-1
10251457_627475697341430_1975932636_a_0_4143,4.352,1,1,-1,-1,-1,-1,-1
924967_542881622499290_2001029293_a_0_945,5.054,-1,-1,-1,1,-1,-1,-1
1516616_234215103436539_1329011623_a_0_4568,3.836,-1,-1,-1,-1,-1,1,-1
1388968_1399768653633494_1751740164_a,4.349,1,-1,-1,-1,1,-1,-1
1516818_767179956634416_2010108335_a_0_4691,5.283,1,-1,-1,-1,-1,-1,1
10005606_423692964442442_1222245020_a,4.655,1,-1,-1,-1,1,-1,-1
10175304_1576957539196310_679917601_a_0_1543,4.792,-1,-1,1,-1,-1,-1,-1
927924_701583989879556_1771179050_a,5.139,1,-1,-1,-1,1,-1,-1
1389254_382502921884747_1751890672_a_0_3589,4.613,1,1,-1,-1,-1,-1,-1
10012979_225958330934534_1993008732_a,4.795,1,-1,-1,-1,1,-1,-1
10011512_730978736933644_538135436_a,4.575,-1,-1,-1,-1,-1,1,-1
1515113_620729274681636_2124924972_a_0_6363,5.38,-1,-1,-1,-1,-1,1,-1
10246098_645454392194518_1196901166_a_0_5049,4.223,-1,-1,-1,-1,-1,1,-1
10012479_660947180631738_1273460183_a_0_6681,4.399,-1,-1,1,-1,-1,-1,-1
1171099_746304482076731_924370163_a_0_5943,3.968,-1,-1,-1,1,-1,-1,-1
1209514_593687234061238_1214674610_a_0_3586,4.759,-1,-1,-1,1,-1,-1,-1
1515839_1495010074056129_1779249640_a_0_6553,4.947,-1,-1,-1,-1,-1,1,-1
924977_635013729897087_694606449_a,3.915,1,-1,-1,-1,1,-1,-1
10175208_754790987886750_1498444471_a_0_2723,4.441,-1,-1,-1,-1,-1,1,-1
10012463_477344509034499_798364743_a_0_8578,3.665,-1,-1,-1,-1,-1,1,-1
10245977_619941974758514_113818103_a_0_3240,4.431,-1,-1,1,-1,-1,-1,-1
10013209_1402520500023782_298000570_a_0_2734,3.38,1,-1,-1,-1,-1,-1,1
1168906_1462560400644158_1088969926_a_0_515,2.741,-1,-1,-1,-1,-1,1,-1
1516818_767179956634416_2010108335_a_0_9157,5.283,1,-1,-1,-1,-1,-1,1
10246087_457197894411245_1757992847_a_0_9516,4.223,-1,-1,1,-1,-1,-1,-1
1515849_507225742714934_829037659_a_0_3090,4.396,-1,-1,-1,-1,-1,1,-1
925459_834557103225523_1228624476_a_0_3259,4.101,-1,-1,-1,-1,1,1,1
10246119_310733032413389_1061390525_a_0_8812,5.188,-1,-1,1,-1,-1,-1,-1
1516818_767179956634416_2010108335_a_0_6659,5.283,1,-1,-1,-1,-1,-1,1
1515935_1386504328297310_810006570_a_0_7932,3.717,-1,-1,-1,-1,-1,1,-1
10175228_440288316074213_1160560886_a,4.801,1,-1,-1,-1,1,-1,-1
10175359_1484844951728931_1081847524_a_0_8082,4.44,-1,-1,-1,-1,-1,1,-1
10246196_1487279324816876_1538648358_a,4.171,1,-1,-1,-1,1,-1,-1
10013324_616554321746731_2036124662_a,4.582,1,-1,-1,-1,1,-1,-1
1170967_281770841993781_1852303732_a_0_2479,5.322,-1,-1,1,-1,-1,-1,-1
10013209_1402520500023782_298000570_a_0_5302,3.38,1,-1,-1,-1,-1,-1,1
10254181_753995364633111_109551758_a_0_6985,3.686,1,-1,-1,-1,-1,-1,1
10246186_1380134142268924_1440474068_a_0_1436,4.421,-1,-1,-1,1,-1,-1,-1
927632_285206428313056_679425605_a_0_9463,3.317,-1,-1,-1,1,-1,-1,-1
10254058_624441624303339_893357750_a,4.002,1,-1,-1,-1,1,-1,-1
10249105_267819670065795_2102494052_a,3.771,-1,-1,-1,1,-1,-1,-1
10013068_731571446875195_861969587_a_0_2336,4.724,-1,-1,-1,-1,-1,1,-1
10013209_1402520500023782_298000570_a_0_9427,3.38,1,-1,-1,-1,-1,-1,1
10175119_1421226451465627_1263381109_a,4.984,-1,-1,1,-1,-1,-1,-1
10013209_1402520500023782_298000570_a_0_3680,3.38,1,-1,-1,-1,-1,-1,1
10013209_1402520500023782_298000570_a_0_9586,3.38,1,-1,-1,-1,-1,-1,1
1389093_428450150590824_901901016_a_0_3947,4.163,1,1,-1,-1,-1,-1,-1
1170384_1414650305463501_1643645052_a,4.778,1,-1,-1,-1,1,-1,-1
1516665_599760660101765_1421014296_a_0_9913,4.981,1,1,-1,-1,-1,-1,-1
10009339_539945986123146_762803808_a_0_7572,3.81,1,1,-1,-1,-1,-1,-1
10251418_707714289271797_1872528208_a_0_9899,3.417,1,1,-1,-1,-1,-1,-1
10246232_1377021329246620_393801115_a_0_6681,4.325,-1,-1,-1,1,-1,-1,-1
10012464_562453513853689_1718677725_a_0_2450,4.933,-1,-1,-1,1,-1,-1,-1
10245934_1523302174563575_2014240207_a_0_7740,4.476,-1,-1,-1,-1,-1,1,-1
1171075_374966375976148_2107303036_a_0_6119,5.194,-1,-1,-1,1,-1,-1,-1
10011267_318268808298265_1039659768_a,4.79,1,-1,-1,-1,1,-1,-1
1172236_842337122458396_149095053_a_0_2517,4.039,-1,-1,-1,-1,-1,1,-1
10175127_675551369177566_1781205909_a_0_2482,4.516,1,1,-1,-1,-1,-1,-1
10249145_1437203553185751_1383334073_a,3.39,1,-1,-1,-1,1,-1,-1
925459_834557103225523_1228624476_a_0_8864,4.101,-1,-1,-1,-1,1,1,1
10249141_304954409653028_1197814810_a_0_8477,4.568,-1,-1,1,-1,-1,-1,-1
1516818_767179956634416_2010108335_a_0_9726,5.283,1,-1,-1,-1,-1,-1,1
10009262_1413702342225567_1564329095_a_0_6161,4.902,-1,-1,-1,1,-1,-1,-1
1516818_767179956634416_2010108335_a_0_9332,5.283,1,-1,-1,-1,-1,-1,1
10005633_545924642190392_1015314093_a_0_3046,3.476,-1,-1,-1,-1,-1,1,-1
10254181_753995364633111_109551758_a_0_2401,3.686,1,-1,-1,-1,-1,-1,1
10013033_267141560113901_1792403080_a_0_5796,4.992,1,-1,-1,-1,-1,-1,1
10013209_1402520500023782_298000570_a_0_8118,3.38,1,-1,-1,-1,-1,-1,1
1389254_382502921884747_1751890672_a_0_7882,4.613,1,1,-1,-1,-1,-1,-1
1515959_1467999450083947_1044232422_a_0_7853,3.953,-1,-1,-1,-1,-1,1,-1
10005454_611373695623741_346032254_a,4.189,-1,-1,-1,1,-1,-1,-1
10004275_621692204567557_271055811_a,4.019,1,-1,-1,-1,1,-1,-1
10261170_481270631998707_583957873_a_0_9879,4.474,-1,-1,-1,-1,-1,1,-1
10249097_639093582826602_1225224939_a_0_9007,4.494,-1,-1,-1,1,-1,-1,-1
1527675_853680454648168_1404360480_a_0_1247,4.876,-1,-1,-1,-1,-1,1,-1
10245921_289971957826348_1617358036_a_0_459,4.639,-1,-1,-1,-1,-1,1,-1
1515864_622050691197376_2108192279_a_0_8340,4.759,-1,-1,-1,-1,-1,1,-1
925459_834557103225523_1228624476_a_0_6387,4.101,-1,-1,-1,-1,1,1,1
1171758_216031078607619_1622085903_a_0_5689,4.182,1,1,-1,-1,-1,-1,-1
10175127_675551369177566_1781205909_a_0_3250,4.516,1,1,-1,-1,-1,-1,-1
10245962_626597257426045_2132101875_a_0_6867,4.235,-1,-1,-1,1,-1,-1,-1
10175150_520973454677840_1852966034_a_0_9190,4.618,-1,-1,1,-1,-1,-1,-1
10254244_692561990782711_2144110586_a_0_6474,4.231,1,1,-1,-1,-1,-1,-1
10013209_1402520500023782_298000570_a_0_5964,3.38,1,-1,-1,-1,-1,-1,1
927278_1414469058813717_1812368948_a_0_9805,4.879,1,1,-1,-1,-1,-1,-1
1941021_1425467867703032_967448214_a,4.656,1,-1,-1,-1,1,-1,-1
1171686_295224697297262_730030293_a_0_446,4.334,-1,-1,-1,1,-1,-1,-1
10246136_1416492258610679_146575021_a_0_1201,3.518,-1,-1,-1,1,-1,-1,-1
1515202_666598743387837_577689125_a_0_8482,3.185,-1,-1,-1,1,-1,-1,-1
1172006_228586970681991_1118514962_a,3.896,1,-1,-1,-1,1,-1,-1
10013110_225337720993813_1178441064_a_0_6756,5.088,1,1,-1,-1,-1,-1,-1
10013209_1402520500023782_298000570_a_0_2092,3.38,1,-1,-1,-1,-1,-1,1
10246197_625749590839541_2100286595_a,4.689,1,-1,-1,-1,1,-1,-1
10175345_1424374741146826_712895294_a_0_5294,4.435,-1,-1,-1,1,-1,-1,-1
1515257_1398389750437735_1638309228_a_0_2171,4.39,-1,-1,-1,-1,-1,1,-1
1516920_499947270128505_928852262_a_0_3156,3.975,-1,-1,-1,-1,-1,1,-1
924320_233645073491730_1229415569_a,3.88,1,-1,-1,-1,1,-1,-1
1516818_767179956634416_2010108335_a_0_28,5.283,1,-1,-1,-1,-1,-1,1
1171806_313018738851725_216329570_a_0_8354,3.744,-1,-1,-1,1,-1,-1,-1
10013033_267141560113901_1792403080_a_0_2044,4.992,1,-1,-1,-1,-1,-1,1
10175381_1401617893444998_689192037_a_0_8233,3.526,-1,-1,-1,1,-1,-1,-1
10175327_611991625545184_158245643_a_0_8285,4.288,-1,-1,-1,1,-1,-1,-1
10245970_613157438772283_509504961_a_0_2026,3.75,-1,-1,1,-1,-1,-1,-1
10246117_503899383066501_789815145_a,5.306,-1,-1,-1,1,-1,-1,-1
10175276_1431944313720146_261854587_a,4.628,-1,-1,-1,1,-1,-1,-1
925459_834557103225523_1228624476_a_0_1276,4.101,-1,-1,-1,-1,1,1,1
10254218_1439391569635957_1103191276_a_0_8689,4.675,-1,-1,1,-1,-1,-1,-1
924962_244465555739566_1222822237_a_0_117,4.326,-1,-1,1,-1,-1,-1,-1
10175137_301778406641122_1695393332_a,3.966,-1,-1,1,-1,-1,-1,-1
10013002_768537106489943_630448802_a,3.985,1,-1,-1,-1,1,-1,-1
10254098_775912239095217_1234784805_a,3.974,1,-1,-1,-1,1,-1,-1
1530679_1420359761556481_1937804794_a_0_3178,4.751,-1,-1,1,-1,-1,-1,-1
929063_749887281702565_134458374_a,4.845,-1,-1,-1,1,-1,-1,-1
1515077_664047933633214_1773728780_a_0_680,4.395,-1,-1,1,-1,-1,-1,-1
1170315_465067393625497_261832531_a_0_8199,3.036,-1,-1,-1,1,-1,-1,-1
10004298_226224600909995_130073562_a_0_2612,4.489,-1,-1,-1,-1,-1,1,-1
10012573_231568337050125_1706051455_a,4.903,1,-1,-1,-1,1,-1,-1
1516818_767179956634416_2010108335_a_0_4605,5.283,1,-1,-1,-1,-1,-1,1
10013033_267141560113901_1792403080_a_0_3576,4.992,1,-1,-1,-1,-1,-1,1
1739644_484842041616417_1769222185_a_0_3773,4.182,-1,-1,-1,-1,-1,1,-1
10175386_851628571529798_1647101473_a,4.548,1,-1,-1,-1,1,-1,-1
10175174_476658179101758_212885182_a_0_7765,3.649,-1,-1,1,-1,-1,-1,-1
927037_608792182548517_730862057_a,4.043,1,-1,-1,-1,1,-1,-1
1516818_767179956634416_2010108335_a_0_57,5.283,1,-1,-1,-1,-1,-1,1
10249103_722284317794317_1341188845_a_0_3436,4.208,-1,-1,1,-1,-1,-1,-1
10013209_1402520500023782_298000570_a_0_6532,3.38,1,-1,-1,-1,-1,-1,1
10012472_268697123309006_227721234_a_0_7665,4.61,-1,-1,1,-1,-1,-1,-1
10175148_781086668569690_1904197698_a_0_8048,4.591,-1,-1,1,-1,-1,-1,-1
1515789_619702064770998_528286573_a_0_4422,3.142,-1,-1,-1,-1,-1,1,-1
10246183_625643344194931_1769522262_a_0_3478,4.257,-1,-1,1,-1,-1,-1,-1
1527513_226580844207741_491920335_a_0_8875,3.909,-1,-1,1,-1,-1,-1,-1
10013033_267141560113901_1792403080_a_0_2594,4.992,1,-1,-1,-1,-1,-1,1
10013033_267141560113901_1792403080_a_0_5870,4.992,1,-1,-1,-1,-1,-1,1
10013142_678508758877298_826413368_a_0_5583,3.854,-1,-1,-1,-1,-1,1,-1
